No.,English,中文,拼音,中文+拼音
1,people,人,rén,人 rén
2,navel,肚脐,dùqí,肚脐 dùqí
3,male,男性,nánxìng,男性 nánxìng
4,thigh,大腿,dàtuǐ,大腿 dàtuǐ
5,forearm,小臂,xiǎobì,小臂 xiǎobì
6,nipple,乳头,rǔtóu,乳头 rǔtóu
7,knee,膝,xī,膝 xī
8,groin,腹股沟,fùgǔgōu,腹股沟 fùgǔgōu
9,genitals,生殖器,shēngzhíqì,生殖器 shēngzhíqì
10,neck,颈,jǐng,颈 jǐng
11,chest,胸,xiōng,胸 xiōng
12,breast,乳房,rǔfáng,乳房 rǔfáng
13,shin,小腿,xiǎotuǐ,小腿 xiǎotuǐ
14,hip,髋,kuān,髋 kuān
15,head,头,tóu,头 tóu
16,foot,脚,jiǎo,脚 jiǎo
17,abdomen,腹,fù,腹 fù
18,female,女性,nǚxìng,女性 nǚxìng
19,waist,腰,yāo,腰 yāo
20,leg,腿,tuǐ,腿 tuǐ
21,calf,小腿肚,xiǎotuǐdù,小腿肚 xiǎotuǐdù
22,small of back,腰骶部,yāodǐbù,腰骶部 yāodǐbù
23,nape,后颈,hòujǐng,后颈 hòujǐng
24,arm,手臂,shǒubì,手臂 shǒubì
25,wrist,手腕,shǒuwàn,手腕 shǒuwàn
26,ankle,脚踝,jiǎohuái,脚踝 jiǎohuái
27,heel,脚后跟,jiǎohòugēn,脚后跟 jiǎohòugēn
28,armpit,腋窝,yèwō,腋窝 yèwō
29,elbow,肘,zhǒu,肘 zhǒu
30,hand,手,shǒu,手 shǒu
31,buttock,臀,tún,臀 tún
32,shoulder,肩,jiān,肩 jiān
33,back,背,bèi,背 bèi
34,jaw,下颚,xià’è,下颚 xià’è
35,cheek,脸颊,liǎnjiá,脸颊 liǎnjiá
36,eye,眼睛,yǎnjīng,眼睛 yǎnjīng
37,chin,下巴,xiàba,下巴 xiàba
38,nostril,鼻孔,bíkǒng,鼻孔 bíkǒng
39,nose,鼻子,bízi,鼻子 bízi
40,eyelash,睫毛,jiémáo,睫毛 jiémáo
41,hair,头发,tóufà,头发 tóufà
42,skin,皮肤,pífū,皮肤 pífū
43,lip,唇,chún,唇 chún
44,ear,耳朵,ěrduǒ,耳朵 ěrduǒ
45,temple,太阳穴,tàiyángxuè,太阳穴 tàiyángxuè
46,forehead,前额,qián’é,前额 qián’é
47,eyebrow,眉毛,méimáo,眉毛 méimáo
48,mole,痣,zhì,痣 zhì
49,mouth,嘴,zuǐ,嘴 zuǐ
50,big toe,大趾,dàzhǐ,大趾 dàzhǐ
51,cuticle,甲上皮,jiǎshàngpí,甲上皮 jiǎshàngpí
52,palm,手掌,shǒuzhǎng,手掌 shǒuzhǎng
53,fist,拳头,quántóu,拳头 quántóu
54,middle finger,中指,zhōngzhǐ,中指 zhōngzhǐ
55,index finger,食指,shízhǐ,食指 shízhǐ
56,freckle,雀斑,quèbān,雀斑 quèbān
57,ball,拇趾球,mǔzhǐqiú,拇趾球 mǔzhǐqiú
58,instep,脚内侧,jiǎonèicè,脚内侧 jiǎonèicè
59,sole,脚掌,jiǎozhǎng,脚掌 jiǎozhǎng
60,nail,指甲,zhǐjia,指甲 zhǐjia
61,toenail,趾甲,zhǐjiǎ,趾甲 zhǐjiǎ
62,dimple,酒窝,jiǔwō,酒窝 jiǔwō
63,pore,毛孔,máokǒng,毛孔 máokǒng
64,arch,足弓,zúgōng,足弓 zúgōng
65,toe,脚趾,jiǎozhǐ,脚趾 jiǎozhǐ
66,little toe,小趾,xiǎozhǐ,小趾 xiǎozhǐ
67,thumb,拇指,mǔzhǐ,拇指 mǔzhǐ
68,wrinkle,皱纹,zhòuwén,皱纹 zhòuwén
69,knuckle,指关节,zhǐguānjié,指关节 zhǐguānjié
70,ring finger,无名指,wúmíngzhǐ,无名指 wúmíngzhǐ
71,bridge,脚背,jiǎobèi,脚背 jiǎobèi
72,little finger,小指,xiǎozhǐ,小指 xiǎozhǐ
73,hamstring,腘旁腱,huòpángjiàn,腘旁腱 huòpángjiàn
74,pectoral,胸肌,xiōngjī,胸肌 xiōngjī
75,biceps,二头肌,èrtóujī,二头肌 èrtóujī
76,latissimus dorsi,背阔肌,bèikuòjī,背阔肌 bèikuòjī
77,intercostal,肋间肌,lèijiānjī,肋间肌 lèijiānjī
78,abdominals,腹肌,fùjī,腹肌 fùjī
79,triceps,三头肌,sāntóujī,三头肌 sāntóujī
80,frontal,额肌,éjī,额肌 éjī
81,quadriceps,四头肌,sìtóujī,四头肌 sìtóujī
82,deltoid,三角肌,sānjiǎojī,三角肌 sānjiǎojī
83,trapezius,斜方肌,xiéfāngjī,斜方肌 xiéfāngjī
84,Achilles tendon,跟腱,gēnjiàn,跟腱 gēnjiàn
85,rib,肋骨,lèigǔ,肋骨 lèigǔ
86,rib cage,胸廓,xiōngkuò,胸廓 xiōngkuò
87,tendon,腱,jiàn,腱 jiàn
88,ligament,韧带,rèndài,韧带 rèndài
