No.,English,IPA(美式),近似?,出现页,出现次数
1,a little,/ə lˈɪtəl/,,322,1
2,a lot,/ə lˈɑt/,,322,1
3,a quarter of an,/ə kwˈɔrtɚ ˈʌv ˈæn/,,306,1
4,a shot,/ə ʃˈɑt/,,153,1
5,A table for two,/ə tˈeɪbəl fˈɔr tˈu/,,155,1
6,abdomen,/ˈæbdəmen/,,14,1
7,abdominals,/æbˈdɑminəl/,,18,1
8,about,/əˈbaʊt/,,322,1
9,above,/əˈbʌv/,,322,1
10,abseiling,/æbseɪlɪŋ/,是,250,1
11,acacia,/əkˈeɪʃə/,,112,1
12,accelerator,/əkˈseləreɪtə/,,202,1
13,access road,/ˈæksˌɛs roʊd/,,218,1
14,accessories,/æksˈɛsɚiz/,,38,2
15,accident,/ˈæksidənt/,,48,1
16,accommodation,/ə/,,325,1
17,account number,/əkˈaʊnt nˈʌmbɚ/,,98,1
18,accountant,/əˈkaʊntənt/,,99,2
19,accounts department,/əkˈaʊnts dɪpˈɑrtmənt/,,177,1
20,accused,/əˈkjuːzd/,,182,1
21,ace,/eɪs/,,232,2
22,Achilles tendon,/əkˈɪliz tˈɛndən/,,18,1
23,acorn squash,/ˈeɪkɔrn skwˈɑʃ/,,127,1
24,acquaintance,/əkwˈeɪntəns/,,26,1
25,acquitted,/əkwˈɪtɪd/,,183,1
26,across,/əˈkrɑs/,,322,1
27,acrylic paint,/əkrˈɪlɪk pˈeɪnt/,,276,1
28,actions,/ˈækʃən/,,185,5
29,activites,/æktɪvɪtɛs/,是,265,1
30,activities,/ækˈtiviti/,,79,3
31,actor,/ˈæktə/,,193,2
32,actress,/ˈæktris/,,256,1
33,acupressure,/ækʌprɛssɝr/,是,57,1
34,acupuncture,/ˈækju/,,57,1
35,Adam’s apple,/ˈæpl/,,21,1
36,add,/æd/,,167,1
37,address,/əˈdres/,,100,1
38,adhesive tape,/ædhˈisɪv tˈeɪp/,,49,1
39,adjustable spanner,/ədʒˈʌstəbəl spˈænɚ/,,82,1
40,admissions,/ædmˈɪʃənz/,,170,1
41,admitted,/ədˈmitid/,,50,1
42,aduki beans,/biːn/,,133,1
43,adult,/ˈædʌlt/,,25,1
44,advantage,/ædvˈæntɪdʒ/,,232,1
45,adventure,/ədˈventʃə/,,257,1
46,advertisement,/ædvɝtəzmənt/,,271,1
47,aerate,/æɛrræt/,是,93,1
48,aerobics,/ɚoʊbɪks/,,253,1
49,Afghanistan,/æfgˈænəstˌæn/,,320,1
50,Africa,/ˈæfrikə/,,319,1
51,after,/ˈɑːftə/,,322,1
52,aftershave,/ˌæftɚʃˈeɪv/,,75,1
53,aftersun,/æftɛrrsʌn/,是,110,1
54,agate,/ˈægət/,,291,1
55,agenda,/əˈdʒendə/,,176,1
56,aileron,/ˈeɪlɚˌɑn/,,212,1
57,air bag,/ˈɛr bˈæg/,,203,1
58,air conditioning,/ˈɛr kəndˈɪʃənɪŋ/,,202,1
59,air cylinder,/ˈɛr sˈɪləndɚ/,,241,1
60,air filter,/ˈɛr fˈɪltɚ/,,204,2
61,air stewardess,/ˈɛr stˈuɚdəs/,,192,1
62,air supply forecourt,/ɛr/,,201,1
63,air vent,/ˈɛr vˈɛnt/,,212,1
64,aircraft,/ˈɛrkræft/,,212,1
65,aircraft carrier,/ˈɛrkrˌæft kˈæriɚ/,,217,1
66,airliner,/ˈɛrlˌaɪnɚ/,,212,1
67,airport,/ˈɛrpɑːt/,,214,1
68,aisle,/aɪl/,,108,4
69,alarm clock,/əlˈɑrm klˈɑk/,,72,1
70,Alaska,/əˈlæskə/,,316,1
71,Albania,/ælbˈeɪniə/,,318,1
72,alcoholic drinks,/ˌælkəhˈɑlɪk drˈɪŋks/,,147,1
73,alfalfa,/ˌælfˈælfə/,,186,1
74,All directions,/ˈɔl dɚˈɛkʃənz/,,325,1
75,allergy,/ˈælədʒi/,,46,1
76,alley,/ˈæli/,,300,1
77,alligator,/ˈæligeɪtə/,,295,1
78,allspice,/ˈɔlspˌaɪs/,,134,1
79,almond,/ˈɑmənd/,,131,1
80,almond oil,/ˈɑmənd ˈɔɪl/,,136,1
81,almonds,/ˈɑːməndz/,,153,1
82,along,/əˈlɑŋ/,,322,1
83,alpine,/ˈælpaɪn/,,89,1
84,alpine skiing,/ˈælpˌaɪn skˈiɪŋ/,,249,1
85,alternating current,/ˈɔltɚnˌeɪtɪŋ kɝənt/,,62,1
86,alternative therapy,/ɔltɝnətɪv θˈɛrəpi/,,56,1
87,alternator,/ˈɔltɚnˌeɪtɚ/,,205,1
88,altitude,/ˈæltitjuːd/,,213,1
89,aluminium,/əlˈumɪnəm/,,291,1
90,always,/ˈɑːlweɪz/,,322,1
91,Amazonia,/ˌæməzoʊniə/,,314,1
92,ambulance,/ˈæmbjuləns/,,96,1
93,American football,/əmˈɛrəkən fˈʊtbˌɔl/,,222,1
94,amethyst,/ˈæmɪθɪst/,,290,1
95,amniocentesis,/ˌæmnioʊsˌɛntˈisɪs/,,54,1
96,amniotic,/ˈæmniɔtɪk/,,54,1
97,amount,/əˈmaʊnt/,,98,1
98,amp,/ˈæmp/,,62,1
99,amphibians,/æmˈfɪbɪrnz/,,296,1
100,amplifier,/ˈæmpləfˌaɪɚ/,,270,1
101,anaesthetist,/ənˈɛsθɛtɪst/,,50,1
102,anchor,/ˈæŋkə/,,216,2
103,and Principe,/ənd printʃˈipi/,,319,1
104,Andes compass,/ˈændiz kˈʌmpəs/,,314,1
105,Andorra,/ændˈɔrə/,,318,1
106,angle,/ˈæŋgl/,,166,1
107,Angola,/æŋˈoʊlə/,,319,1
108,angry,/ˈæŋgri/,,27,1
109,animals,/ˈæniməl/,,292,3
110,animated,/ˈænimeɪtid/,,257,1
111,ankle,/ˈæŋkl/,,15,2
112,ankle length,/ˈæŋkəl lˈɛŋkθ/,,36,1
113,anniversary,/æniˈvəːsəri/,,28,1
114,annual,/ˈænjuəl/,,309,1
115,anorak,/ˈænɚˌæk/,,33,2
116,answer,/ˈɑːnsə/,,101,2
117,answering machine,/ˈænsɚɪŋ məʃˈin/,,101,1
118,ant,/ˈænt/,,297,1
119,antenatal,/æntɛnætɔll/,是,54,1
120,antenna,/æntˈɛnə/,,297,1
121,anti-wrinkle,/ˈæntˌi rˈɪŋkəl/,,43,1
122,antifreeze,/ˈæntifrˌiz/,,201,1
123,Antigua and Barbuda,/æntˈigwə ənd bɑrbˈudə/,,316,1
124,antiques shop,/æntˈiks ʃˈɑp/,,116,1
125,antiseptic,/ˌæntəsˈɛptɪk/,,49,1
126,antiseptic wipe,/ˌæntəsˈɛptɪk wˈaɪp/,,49,1
127,apartment,/əˈpɑːtmənt/,,300,1
128,aperture dial,/ˈæpɚtʃɚ dˈaɪəl/,,272,1
129,apex side,/ˈeɪpˌɛks sˈaɪd/,,166,1
130,appeal,/əˈpiːl/,,183,1
131,APPEARANCE,/əˈpiərəns/,,31,13
132,appendix,/əpˈɛndɪks/,,20,1
133,applaud,/əplˈɔd/,,257,1
134,apple,/ˈæpl/,,128,1
135,apple corer,/ˈæpl/,,70,1
136,apple juice,/ˈæpəl dʒˈus/,,151,1
137,appliances,/əˈplaɪrns/,,68,1
138,application,/ˌæpləkˈeɪʃən/,,178,1
139,appointment,/əˈpɑintmənt/,,47,2
140,apricot,/ˈeɪprəkˌɑt/,,128,1
141,April,/ˈeɪprəl/,,308,1
142,apron,/ˈeɪprən/,,32,3
143,apron baking tray,/ˈeɪprən bˈeɪkɪŋ trˈeɪ/,,71,1
144,APS camera,/ˈkæmərə/,,272,1
145,aquamarine,/ˌɑkwəmɚˈin/,,290,1
146,Arabian Sea,/ərˈeɪbiən sˈi/,,315,1
147,arable farm,/ˈærəbəl fˈɑrm/,,185,1
148,arc,/ɑːk/,,166,1
149,arch,/ɑːtʃ/,,17,3
150,archery,/ˈɑːtʃəri/,,251,1
151,architecture,/ˈɑːkitektʃə/,,302,1
152,architrave,/ˈɑrkətrˌeɪv/,,303,1
153,Arctic circle,/ˈɑrktɪk sɝkəl/,,285,1
154,Arctic Ocean,/ˈɑrktɪk oʊʃən/,,314,1
155,Are these grown,/ˈɑr ðˈiz groʊn/,,124,1
156,Are they,/ˈɑr ðˈeɪ/,,113,2
157,area,/ˈɛrriə/,,167,2
158,areas,/ˈɛrriə/,,301,1
159,arena,/ɚˈinə/,,245,1
160,Argentina,/ˌɑrdʒəntˈinə/,,317,1
161,arithmetic,/əˈriθmətik/,,167,1
162,arm,/ɑːm/,,15,1
163,armband,/ˈɑrmbˌænd/,,240,1
164,armchair,/ˈɑrmtʃˌɛr/,,65,1
165,Armenia,/ɑrmˈiniə/,,320,1
166,armpit,/ˈɑrmpˌɪt/,,15,1
167,armrest,/ˈɑrmrˌɛst/,,202,2
168,aromatherapy,/əroʊməθɝəpi/,,57,1
169,around,/əˈraʊnd/,,322,1
170,arrangements,/ɚˈeɪndʒmənts/,,113,1
171,arrest,/əˈrest/,,96,1
172,arrivals,/ɚˈaɪvəlz/,,215,1
173,arrow,/ˈæroʊ/,,251,1
174,art,/ɑːt/,,164,1
175,art college,/ˈɑrt kˈɑlɪdʒ/,,171,1
176,art deco,/ˈɑrt dˈɛkoʊ/,,303,1
177,art gallery,/ˈɑrt gˈælɚi/,,263,1
178,art nouveau,/ˈɑrt nˌuvoʊ/,,303,1
179,art shop,/ˈɑrt ʃˈɑp/,,117,1
180,artery,/ˈɑːtəri/,,21,1
181,artichoke,/ˈɑrtətʃoʊk/,,126,1
182,artist,/ˈɑːtist/,,276,1
183,arts and crafts,/ˈɑrts ənd krˈæfts/,,276,2
184,ash,/æʃ/,,285,1
185,ashtray,/ˈæʃtrˌeɪ/,,152,1
186,Asia,/ˈeɪʒə/,,320,1
187,assault,/əˈsɑːt/,,96,1
188,assistant,/əˈsistənt/,,26,1
189,assisted delivery,/əsˈɪstɪd dɪlˈɪvɚi/,,55,1
190,asteroid,/ˈæstərɑid/,,282,1
191,asthma,/ˈæsmə/,,46,1
192,astigmatism,/əˈstigmətizm/,,53,1
193,astronaut,/ˈæstrənɑːt/,,283,1
194,astronomy,/əˈstrɑnəmi/,,283,1
195,asymmetric bars,/ˌeɪsəmˈɛtrɪk bˈɑrz/,,237,1
196,at,/æt/,,322,1
197,athlete,/ˈæθliːt/,,236,1
198,athletics,/æθlˈɛtɪks/,,236,1
199,Atlantic Ocean,/ətlˈæntɪk oʊʃən/,,314,1
200,atmosphere,/ˈætməsfiə/,,284,1
201,atrium,/ˈeɪtriəm/,,106,1
202,attachment,/ətˈætʃmənt/,,179,1
203,attack,/əˈtæk/,,222,1
204,attack zone,/ətˈæk zoʊn/,,226,1
205,attend,/əˈtend/,,176,1
206,attic,/ˈætik/,,60,1
207,attractions,/ətˈrækʃnz/,,263,1
208,aubergine,/ˈɔbɚdʒˌin/,,127,1
209,auburn,/ˈɑbɚn/,,41,1
210,audience,/ˈɑːdiəns/,,256,1
211,August,/ɑːˈgʌst/,,308,1
212,aunt,/ˈænt/,,24,1
213,aurora,/ɚˈɔrə/,,288,1
214,Australasia,/ˌɔstrəlˈeɪʒə/,,321,1
215,Australia,/ɑˈstreɪljə/,,321,1
216,Austria,/ˈɑstriə/,,318,1
217,autocue,/ɔtɑkʌɛ/,是,181,1
218,automatic,/ˌɔtəmˈætɪk/,,202,1
219,automatic door,/ˌɔtəmˈætɪk dˈɔr/,,198,1
220,autumn,/ˈɑːtəm/,,33,2
221,avalanche,/ˈævəlˌæntʃ/,,249,1
222,avenue,/ˈævənjuː/,,301,1
223,avocado,/ˌævəkˈɑdoʊ/,,130,1
224,awning,/ˈɑnɪŋ/,,150,1
225,axe,/æks/,,97,1
226,axle,/ˈæksəl/,,207,1
227,ayurveda,/eɪɝrvɛdæ/,是,57,1
228,Azerbaijan,/ˌɑzɚbaɪdʒˈɑn/,,320,1
229,baby,/ˈbeɪbi/,,25,2
230,baby bath,/bˈeɪbi bˈæθ/,,76,1
231,baby care,/bˈeɪbi kˈɛr/,,76,1
232,baby changing facilities,/bˈeɪbi tʃˈeɪndʒɪŋ fəsˈɪlətiz/,,106,1
233,baby monitor,/bˈeɪbi mˈɑnətɚ/,,77,1
234,baby products,/bˈeɪbi prˈɑdəkts/,,109,1
235,baby sling,/bˈeɪbi slˈɪŋ/,,77,1
236,babygro,/bæbɪɡrɑ/,是,32,1
237,back,/bæk/,,15,2
238,back brush,/bˈæk brˈʌʃ/,,75,1
239,back seat,/bˈæk sˈit/,,202,1
240,backboard,/ˈbækbɑːd/,,228,1
241,backdrop,/bˈækdrˌɑp/,,256,1
242,backhand,/bˈækhˌænd/,,233,1
243,backpack,/ˈbækpæk/,,33,3
244,backswing,/bækswɪŋ/,是,235,1
245,bacon,/ˈbeɪkən/,,120,2
246,bad,/bæd/,,323,1
247,badge,/bˈædʒ/,,96,1
248,badminton,/ˈbædmintən/,,233,1
249,bag,/bæg/,,313,1
250,bagel,/bˈeɪgəl/,,141,1
251,baggage reclaim,/bˈægədʒ riklˈeɪm/,,215,1
252,baggage trailer,/bˈægədʒ trˈeɪlɚ/,,214,1
253,bags,/bæg/,,39,1
254,baguette,/bˌægˈɛt/,,140,1
255,Bahamas,/bəˈhɑːməz/,,316,1
256,bail,/bˈeɪl/,,183,1
257,bait,/bˈeɪt/,,247,1
258,bake,/bˈeɪk/,,69,1
259,baked,/ˈbeɪkid/,,161,1
260,baker,/ˈbeɪkə/,,141,1
261,bakery,/ˈbeɪkəri/,,109,1
262,baker’s,/bˈeɪkɚ ˈɛs/,,116,1
263,baking cakes,/bˈeɪkɪŋ kˈeɪks/,,71,1
264,balance wheel,/bˈæləns wˈil/,,278,1
265,balcony,/ˈbælkəni/,,61,2
266,bald,/bɑːld/,,41,1
267,bale,/bˈeɪl/,,186,1
268,Balearic Islands,/ˈaɪlənd/,,318,1
269,ball,/bɑːl/,,17,6
270,ballboy,/bɔlllbɑaɪ/,是,233,1
271,balsamic vinegar,/bˌɑlsˈɑmɪk vˈɪnəgɚ/,,137,1
272,Baltic Sea,/bˈɔltɪk sˈi/,,315,1
273,bamboo,/bæmˈbuː/,,88,2
274,banana,/bəˈnɑːnə/,,130,1
275,bandage,/ˈbændidʒ/,,49,1
276,Bangladesh,/,bɑːŋləˈdeʃ/,,320,1
277,banister,/bˈænɪstɚ/,,61,1
278,bank,/bæŋk/,,98,2
279,bank charge,/bˈæŋk tʃˈɑrdʒ/,,98,1
280,bank manager,/bˈæŋk mˈænədʒɚ/,,98,1
281,bank transfer,/bˈæŋk trænsfɝ/,,98,1
282,bar,/bɑː/,,152,5
283,bar code,/bˈɑr koʊd/,,108,1
284,bar counter,/bˈɑr kˈaʊntɚ/,,152,1
285,bar mitzvah,/bˈɑr mˈɪtsvə/,,28,1
286,bar snacks,/bˈɑr snˈæks/,,153,1
287,bar stool,/bˈɑr stˈul/,,152,1
288,barb,/bˈɑrb/,,246,1
289,Barbados,/bɑrbˈeɪdoʊs/,,316,1
290,barbecue,/ˈbɑːbikjuː/,,269,1
291,barber,/bˈɑrbɚ/,,41,2
292,bark,/bɑːk/,,298,1
293,barley,/bˈɑrli/,,132,2
294,barman,/bˈɑrmən/,,193,1
295,barn,/bˈɑrn/,,184,1
296,baroque,/bɚoʊk/,,303,1
297,bars,/bɑːz/,,76,1
298,bartender,/ˈbɑː/,,152,1
299,basalt,/bəsˈɔlt/,,290,1
300,base,/beɪs/,,166,1
301,base station,/bˈeɪs stˈeɪʃən/,,101,1
302,baseball,/ˈbeɪsbɑːl/,,230,1
303,baseline,/bˈeɪslˌaɪn/,,232,1
304,baseman,/bˈeɪsmən/,,230,1
305,basement,/ˈbeɪsmənt/,,60,1
306,basil,/bˈæzəl/,,135,1
307,basin,/ˈbeɪsn/,,52,1
308,basket,/ˈbɑːskit/,,209,3
309,basketball,/ˈbɑːskitbɑːl/,,228,1
310,basque,/bˈæsk/,,37,1
311,bass clarinet,/bˈæs klˌɛrənˈɛt/,,259,1
312,bass clef,/bˈæs klˈɛf/,,258,1
313,bass guitar,/bˈæs gɪtˈɑr/,,260,1
314,bass guitarist fans,/bˈæs gˌɪtˈɑrɪst fˈænz/,,260,1
315,bassoon,/bəsˈun/,,259,1
316,bat,/bæt/,,227,6
317,bath mat,/bˈæθ mˈæt/,,74,1
318,bath towel,/bˈæθ tˈaʊəl/,,75,1
319,bathrobe,/bˈæθroʊb/,,75,1
320,bathroom,/ˈbɑːθruːm/,,74,1
321,bathtub,/bˈæθtəb/,,74,1
322,baton,/bətˈɑn/,,237,2
323,batsman,/bætsmæn/,是,227,1
324,batteries,/ˈbætəri/,,262,1
325,battery,/ˈbætəri/,,204,1
326,battery pack,/bˈætɚi pˈæk/,,80,1
327,battleship,/bˈætəlʃˌɪp/,,217,1
328,bay leaf,/bˈeɪ lˈif/,,135,1
329,bayonet fitting,/bˈeɪənˌɛt fˈɪtɪŋ/,,62,1
330,be all,/bˈi ˈɔl/,,48,1
331,be born,/bˈi bˈɔrn/,,28,1
332,beach,/biːtʃ/,,266,1
333,beach ball,/bˈitʃ bˈɔl/,,267,1
334,beach towel,/bˈitʃ tˈaʊəl/,,267,1
335,beach umbrella beach hut,/bˈitʃ əmbrˈɛlə bˈitʃ hˈʌt/,,266,1
336,beaker,/ˈbiːkə/,,169,1
337,beam toolbelt,/biːm/,,188,1
338,bean sprout,/bˈin sprˈaʊt/,,124,1
339,beans,/biːn/,,146,1
340,beans and peas,/bˈinz ənd pˈiz/,,133,1
341,bear,/bɛr/,,293,1
342,beat,/biːt/,,261,1
343,beautiful,/ˈbjuːtiful/,,323,1
344,beauty,/ˈbjuːti/,,42,3
345,bed and breakfast,/bˈɛd ənd brˈɛkfəst/,,103,1
346,bed linen,/bˈɛd lˈɪnən/,,73,1
347,bedding,/ˈbediŋ/,,76,1
348,bedroom,/ˈbedrum/,,72,1
349,bedside lamp,/bˈɛdsˌaɪd lˈæmp/,,72,1
350,bedside table,/bˈɛdsˌaɪd tˈeɪbəl/,,72,1
351,bedspread,/bˈɛdsprˌɛd/,,72,1
352,bee,/biː/,,297,1
353,beech,/bˈitʃ/,,298,1
354,beef,/biːf/,,120,1
355,beer,/biə/,,147,1
356,beer tap,/bˈɪr tˈæp/,,152,1
357,beetle,/ˈbiːtl/,,297,1
358,beetroot,/bitrut/,是,127,1
359,before,/biˈfɑː/,,322,1
360,beginning,/biˈginiŋ/,,323,1
361,behind,/biˈhaɪnd/,,322,1
362,Belarus,/bɛlˈɑrəs/,,318,1
363,Belgium,/ˈbeldʒəm/,,318,1
364,Belize,/beˈliːz/,,316,1
365,bell,/bˈɛl/,,199,1
366,below,/biˈloʊ/,,322,1
367,belt,/belt/,,38,2
368,bench,/bentʃ/,,252,1
369,Benin,/bˈinɪn/,,319,1
370,berries and melons,/bˈɛriz ənd mˈɛlənz/,,129,1
371,berry,/ˈberi/,,298,1
372,beside,/biˈsaɪd/,,322,1
373,bet,/bet/,,275,1
374,better,/ˈbetə/,,323,1
375,between,/biˈtwiːn/,,322,1
376,beyond,/biˈjɑnd/,,322,1
377,Bhutan,/buːˈtæn/,,320,1
378,biathlon,/bɪæθlɑn/,是,249,1
379,bib,/bib/,,32,1
380,bicep curl,/bˈaɪsˌɛp kɝl/,,253,1
381,biceps,/ˈbaɪseps/,,18,1
382,bicycle,/ˈbaɪsikl/,,208,1
383,biennial,/baɪˈɛniəl/,,88,1
384,bifocal,/bˈaɪfoʊkəl/,,53,1
385,big toe,/bˈɪg toʊ/,,17,1
386,bike rack,/bˈaɪk rˈæk/,,209,1
387,bikini beach bag,/bɪkˈini bˈitʃ bˈæg/,,266,1
388,bill,/bil/,,154,2
389,binoculars,/bənˈɑkjəlɚz/,,283,1
390,biology,/baɪˈɑlədʒi/,,164,1
391,biplane,/bˈaɪplˌeɪn/,,213,1
392,birch,/bəːtʃ/,,298,1
393,bird watching,/bɝd wˈɑtʃɪŋ/,,265,1
394,birds,/bəːd/,,294,1
395,birth,/bəːθ/,,28,2
396,birthday,/ˈbəːθdeɪ/,,29,1
397,birthday candles,/bɝθdˌeɪ kˈændəlz/,,143,1
398,birthday party,/bɝθdˌeɪ pˈɑrti/,,29,1
399,biscuit,/ˈbiskit/,,115,1
400,bishop,/ˈbiʃəp/,,274,1
401,bit,/bit/,,244,1
402,bit brace,/bˈɪt brˈeɪs/,,80,1
403,bite,/baɪt/,,48,2
404,bitter,/ˈbitə/,,126,2
405,black,/blæk/,,41,4
406,black belt,/blˈæk bˈɛlt/,,239,1
407,black coffee,/blˈæk kˈɑfi/,,150,1
408,black hole,/blˈæk hoʊl/,,282,1
409,black olive,/blˈæk ˈɑləv/,,145,1
410,black pudding,/blˈæk pˈʊdɪŋ/,,159,1
411,Black Sea,/blˈæk sˈi/,,315,1
412,black tea,/blˈæk tˈi/,,151,1
413,black-eyed beans,/biːn/,,133,1
414,blackberry,/ˈbrækbəri/,,129,1
415,blackboard,/ˈblækbɑːd/,,164,1
416,blackcurrant,/blækˈkʌrənt/,,129,1
417,bladder,/blˈædɚ/,,22,1
418,blade,/blˈeɪd/,,62,4
419,blanket,/ˈblæŋkit/,,73,2
420,blazer,/blˈeɪzɚ/,,35,1
421,bleach,/bliːtʃ/,,79,1
422,blender,/ˈblendə/,,68,1
423,blister,/blˈɪstɚ/,,48,1
424,block,/blɑk/,,229,3
425,block of flats,/blˈɑk ˈʌv flˈæts/,,61,1
426,blonde,/blɔnd/,,41,1
427,blood pressure,/blˈʌd prˈɛʃɚ/,,46,1
428,blood pressure gauge,/blˈʌd prˈɛʃɚ gˈeɪdʒ/,,47,1
429,blood test,/blˈʌd tˈɛst/,,50,1
430,blouse,/blˈaʊs/,,36,1
431,blow dry,/bloʊ drˈaɪ/,,40,1
432,blow out,/bloʊ ˈaʊt/,,143,1
433,blowhole,/bloʊhoʊl/,,292,1
434,blue cheese,/blˈu tʃˈiz/,,138,1
435,bluebells,/blˈubˌɛlz/,,299,1
436,blueberry,/ˈbluːbəri/,,129,1
437,blusher,/blʌʃɛrr/,是,42,1
438,board,/bɑːd/,,243,1
439,board coastguard,/bɑːd/,,219,1
440,boarding pass,/bˈɔrdɪŋ pˈæs/,,215,1
441,bob,/bɑb/,,41,1
442,bobbin,/bˈɑbən/,,278,1
443,bobsleigh,/bɑbsleɪ/,是,249,1
444,body,/ˈbɑdi/,,14,1
445,body lotion,/bˈɑdi loʊʃən/,,75,1
446,body systems,/bˈɑdi sˈɪstəmz/,,21,1
447,bodywork,/bɑdɪwɔrrk/,是,204,1
448,boil,/bɑil/,,69,1
449,boiled egg,/bˈɔɪld ˈɛg/,,159,1
450,boiled sweets,/bˈɔɪld swˈits/,,115,1
451,boiler,/bˈɔɪlɚ/,,63,1
452,Bolivia,/bəˈliviə/,,317,1
453,bollard,/bˈɑlɚd/,,216,2
454,bolt,/boʊlt/,,61,1
455,bomber,/bˈɑmɚ/,,213,1
456,bone,/boʊn/,,19,3
457,bone meal,/boʊn mˈil/,,90,1
458,bongos,/bˈɑŋgoʊz/,,259,1
459,bonnet,/ˈbɑnit/,,200,1
460,book,/buk/,,170,1
461,book a,/bˈʊk ə/,,214,1
462,book shop,/bˈʊk ʃˈɑp/,,117,1
463,bookshelf,/ˈbukʃelf/,,65,2
464,boom,/buːm/,,242,1
465,booster,/bˈustɚ/,,283,1
466,boot,/bˈut/,,200,2
467,boot goal,/bˈut goʊl/,,225,1
468,booties,/bˈutiz/,,32,1
469,bored,/bˈɔrd/,,27,1
470,boring,/ˈbɑːriŋ/,,323,1
471,borrow,/ˈbɑroʊ/,,170,1
472,Bosnia and Herzogovina,/ænd/,,318,1
473,Botswana Burkina Faso,/bɑtswˈɑnə bɚkˈinə fˈɑsoʊ/,,319,1
474,bottle,/ˈbɑtl/,,77,3
475,bottle opener,/bˈɑtəl oʊpənɚ/,,70,2
476,bottled foods,/bˈɑtəld fˈudz/,,136,1
477,bottom tier,/bˈɑtəm tˈir/,,143,1
478,bounce,/bˈaʊns/,,229,1
479,boundary line,/bˈaʊndɚi lˈaɪn/,,227,1
480,bouquet,/bukˈeɪ/,,37,2
481,bouquet garni,/bukˈeɪ ɡɑrrnɪ/,是,134,1
482,bout,/bˈaʊt/,,239,1
483,boutique,/butˈik/,,117,1
484,bow,/boʊ/,,242,2
485,bow tie,/bˈaʊ tˈaɪ/,,38,1
486,bowl,/boʊl/,,63,4
487,bowler,/boʊlɚ/,,227,1
488,bowling,/ˈboʊliŋ/,,251,1
489,bowling ball,/boʊlɪŋ bˈɔl/,,251,1
490,box,/bɑks/,,256,1
491,box file,/bˈɑks fˈaɪl/,,175,1
492,box of chocolates,/bˈɑks ˈʌv tʃˈɔkləts/,,115,1
493,box of tissues,/bˈɑks ˈʌv tˈɪsjˌuz/,,72,1
494,box office,/bˈɑks ˈɔfɪs/,,257,1
495,boxer shorts,/bˈɑksɚ ʃˈɔrts/,,35,1
